student_id,Section,Homework 1 (5323),Homework 2 (5324),Lecture problems for Lecture 2 (6960),Lecture problems for Lecture 3 (7183),Lecture problems for Lecture 4 (8211),Lecture problems for Lecture 5 (9672),Lecture problems for Lecture 6 (10335),Lecture problems for Lecture 7 (10924),Lecture problems for Lecture 8 (11901),Lecture problems for Lecture 9 (12376),Case Assignment 1 (6701),Case Assignment 2 (9742),Final project Final Points,Exams Final Points
71,作業研究 Operations Research,81,,8,4,10,10,8,10,10,10,76.16,88,0,0
72,作業研究 Operations Research,76,,8,10,8,10,5,0,8,7,,93,0,0
73,作業研究 Operations Research,,,6,0,9,10,0,0,7,0,,93,0,0
74,作業研究 Operations Research,,,0,0,0,0,0,0,0,0,,,0,0
75,作業研究 Operations Research,80,,10,10,10,10,10,10,10,4,71.5,85,0,0
76,作業研究 Operations Research,40,,3,1,10,10,8,10,10,8,80.26,93,0,0
77,作業研究 Operations Research,,,0,0,0,0,0,0,0,0,,,0,0
78,作業研究 Operations Research,0,,10,10,10,10,0,10,7,10,79.62,88,0,0
79,作業研究 Operations Research,93,,0,10,10,10,10,10,7,10,72.66,98,0,0
80,作業研究 Operations Research,,,0,0,0,0,0,0,0,0,,,0,0
81,作業研究 Operations Research,89,,10,10,10,10,0,10,10,8,96.9,100,0,0
82,作業研究 Operations Research,85,,10,10,10,10,10,10,10,10,82.7,100,0,0
83,作業研究 Operations Research,,,0,0,0,0,0,0,0,0,,,0,0
84,作業研究 Operations Research,,,0,0,0,0,0,0,0,0,,,0,0
85,作業研究 Operations Research,,,3,0,0,0,0,0,0,0,,93,0,0
86,作業研究 Operations Research,85,,10,0,10,10,8,10,10,10,76.16,88,0,0
87,作業研究 Operations Research,,,0,0,0,0,0,0,0,0,,,0,0
88,作業研究 Operations Research,93,,10,4,10,10,10,10,7,9,,,0,0
89,作業研究 Operations Research,84,,8,8,10,10,8,10,10,9,78.07,96,0,0
90,作業研究 Operations Research,71,,10,4,8,10,10,10,8,10,63.5,96,0,0
91,作業研究 Operations Research,100,,10,10,10,10,10,10,10,7,96.9,100,0,0
92,作業研究 Operations Research,67,,7,10,10,10,10,10,10,10,,93,0,0
93,作業研究 Operations Research,,,0,0,0,0,0,0,0,0,,,0,0
94,作業研究 Operations Research,88,,8,6,10,10,8,5,10,7,71.5,85,0,0
95,作業研究 Operations Research,,,10,10,10,10,5,6,7,5,90.05,98,0,0
96,作業研究 Operations Research,82,,10,10,10,10,10,5,10,10,79.62,88,0,0
97,作業研究 Operations Research,20,,0,10,10,9,10,10,10,4,83.16,100,0,0
98,作業研究 Operations Research,73,,2,10,10,10,10,10,10,6,9.73,96,0,0
99,作業研究 Operations Research,,,0,0,0,0,0,0,0,0,,,0,0
100,作業研究 Operations Research,91,,10,4,10,10,8,0,10,10,80.26,93,0,0
101,作業研究 Operations Research,,,0,0,0,0,0,0,0,0,,,0,0
102,作業研究 Operations Research,55,,3,1,10,10,10,6,7,0,82.06,100,0,0
103,作業研究 Operations Research,90,,6,10,10,9,10,9,10,9,72.66,98,0,0
104,作業研究 Operations Research,,,8,10,10,0,0,0,0,0,79.62,88,0,0
105,作業研究 Operations Research,84,,10,10,10,10,10,10,10,10,81.06,98,0,0
106,作業研究 Operations Research,,,3,0,0,0,0,0,0,0,63.5,96,0,0
107,作業研究 Operations Research,,,0,0,0,0,0,0,0,0,,,0,0
108,作業研究 Operations Research,81,,0,10,10,9,7,5,10,8,82.07,96,0,0
109,作業研究 Operations Research,71,,10,5,10,10,10,0,10,0,76.16,88,0,0
110,作業研究 Operations Research,88,,8,0,10,10,8,7,10,10,78.07,96,0,0
111,作業研究 Operations Research,69,,0,3,10,6,10,9,10,10,82.7,100,0,0
112,作業研究 Operations Research,83,,3,10,10,10,8,10,7,9,90.05,98,0,0
113,作業研究 Operations Research,75,,3,10,10,10,10,10,8,10,82.06,96,0,0
