student_id,Section,Programming Assignment 1 (7093),Programming Assignment 2 (7986),Programming Assignment 3 (8777),Homework 4 (9458),Programming Assignment 5 (10086),Programming Assignment 6 (10823),Homework 7 (Handwriting) (11608),Homework 7 (Programming) (12133),Homework 8 (12688),Quiz 0 (8209),Midterm Exam (12095)
94,資料結構與進階程式設計 Data Structures and Advanced Program Design,52,,,,,,,,,16,
95,資料結構與進階程式設計 Data Structures and Advanced Program Design,88,,,,,,,,,65,
96,資料結構與進階程式設計 Data Structures and Advanced Program Design,6,,,,,,,,,32,
97,資料結構與進階程式設計 Data Structures and Advanced Program Design,96,,,,,,,,,66,
98,資料結構與進階程式設計 Data Structures and Advanced Program Design,0,,,,,,,,,19,
99,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,61,
100,資料結構與進階程式設計 Data Structures and Advanced Program Design,0,,,,,,,,,0,
101,資料結構與進階程式設計 Data Structures and Advanced Program Design,0,,,,,,,,,30,
102,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,0,
103,資料結構與進階程式設計 Data Structures and Advanced Program Design,60,,,,,,,,,66,
104,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,87,
105,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,55,
106,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,16,
107,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,69,
108,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,71,
109,資料結構與進階程式設計 Data Structures and Advanced Program Design,0,,,,,,,,,53,
110,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,82,
111,資料結構與進階程式設計 Data Structures and Advanced Program Design,0,,,,,,,,,0,
112,資料結構與進階程式設計 Data Structures and Advanced Program Design,12,,,,,,,,,0,
113,資料結構與進階程式設計 Data Structures and Advanced Program Design,0,,,,,,,,,72,
114,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,91,
115,資料結構與進階程式設計 Data Structures and Advanced Program Design,2,,,,,,,,,95,
116,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,92,
117,資料結構與進階程式設計 Data Structures and Advanced Program Design,0,,,,,,,,,56,
118,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,89,
119,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,83,
120,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,81,
121,資料結構與進階程式設計 Data Structures and Advanced Program Design,96,,,,,,,,,62,
122,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,37,
123,資料結構與進階程式設計 Data Structures and Advanced Program Design,66,,,,,,,,,49,
124,資料結構與進階程式設計 Data Structures and Advanced Program Design,90,,,,,,,,,85,
125,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,79,
126,資料結構與進階程式設計 Data Structures and Advanced Program Design,18,,,,,,,,,56,
127,資料結構與進階程式設計 Data Structures and Advanced Program Design,0,,,,,,,,,53,
128,資料結構與進階程式設計 Data Structures and Advanced Program Design,82,,,,,,,,,78,
129,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,89,
130,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,92,
131,資料結構與進階程式設計 Data Structures and Advanced Program Design,0,,,,,,,,,0,
132,資料結構與進階程式設計 Data Structures and Advanced Program Design,,,,,,,,,,,
133,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,71,
134,資料結構與進階程式設計 Data Structures and Advanced Program Design,50,,,,,,,,,18,
135,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,89,
136,資料結構與進階程式設計 Data Structures and Advanced Program Design,10,,,,,,,,,47,
137,資料結構與進階程式設計 Data Structures and Advanced Program Design,0,,,,,,,,,12,
138,資料結構與進階程式設計 Data Structures and Advanced Program Design,36,,,,,,,,,62,
139,資料結構與進階程式設計 Data Structures and Advanced Program Design,0,,,,,,,,,14,
140,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,75,
141,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,60,
142,資料結構與進階程式設計 Data Structures and Advanced Program Design,90,,,,,,,,,68,
143,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,77,
144,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,38,
145,資料結構與進階程式設計 Data Structures and Advanced Program Design,10,,,,,,,,,56,
146,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,53,
147,資料結構與進階程式設計 Data Structures and Advanced Program Design,0,,,,,,,,,0,
148,資料結構與進階程式設計 Data Structures and Advanced Program Design,0,,,,,,,,,46,
149,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,64,
150,資料結構與進階程式設計 Data Structures and Advanced Program Design,98,,,,,,,,,59,
151,資料結構與進階程式設計 Data Structures and Advanced Program Design,,,,,,,,,,,
152,資料結構與進階程式設計 Data Structures and Advanced Program Design,46,,,,,,,,,94,
153,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,52,
154,資料結構與進階程式設計 Data Structures and Advanced Program Design,94,,,,,,,,,84,
155,資料結構與進階程式設計 Data Structures and Advanced Program Design,2,,,,,,,,,22,
156,資料結構與進階程式設計 Data Structures and Advanced Program Design,92,,,,,,,,,70,
157,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,66,
158,資料結構與進階程式設計 Data Structures and Advanced Program Design,88,,,,,,,,,45,
159,資料結構與進階程式設計 Data Structures and Advanced Program Design,54,,,,,,,,,54,
160,資料結構與進階程式設計 Data Structures and Advanced Program Design,90,,,,,,,,,35,
161,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,91,
162,資料結構與進階程式設計 Data Structures and Advanced Program Design,0,,,,,,,,,39,
163,資料結構與進階程式設計 Data Structures and Advanced Program Design,80,,,,,,,,,75,
164,資料結構與進階程式設計 Data Structures and Advanced Program Design,90,,,,,,,,,60,
165,資料結構與進階程式設計 Data Structures and Advanced Program Design,22,,,,,,,,,56,
166,資料結構與進階程式設計 Data Structures and Advanced Program Design,86,,,,,,,,,59,
167,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,58,
168,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,77,
169,資料結構與進階程式設計 Data Structures and Advanced Program Design,90,,,,,,,,,69,
170,資料結構與進階程式設計 Data Structures and Advanced Program Design,100,,,,,,,,,74,
